x,y,z
377.4510744275908,487.7932980537774,a
309.80224019209106,489.2910884116321,a
213.09377433900977,453.96012163894534,a
153.0808821118355,474.9027949361222,a
156.60644927487272,480.79943642831745,a
134.7054526950612,432.66332148072945,a
107.3684071072114,463.019076638315,a
84.747037719485,520.2518660176396,a
85.3944792435672,444.0090794609848,a
81.53906924011159,506.56463800121907,a
102.0090957519843,448.64583959604516,a
160.98243366597632,493.2721071936895,a
150.84808289156263,433.3823451048036,a
154.18081514651885,451.958136814724,a
197.41771429056084,446.4908584243349,a
224.18566548002394,463.45274144696174,a
268.6926418816065,425.2596334348616,a
293.6087177694658,489.015410832554,a
328.3613834303702,426.2532665609432,a
320.07858672799676,444.01242101458337,a
351.8469328311877,451.14859502434825,a
381.1349568805058,450.64026408701386,a
362.4472849342202,400.31598800166836,a
329.8613586534199,427.1067888254912,a
291.37971689365753,429.0495430033876,a
240.41058574136395,436.79124879237,a
228.17520275205013,454.01427746212624,a
220.24708705433096,462.3400603652141,a
185.69648746815122,498.6065847048475,a
109.14452555408971,458.065359391084,a
131.2744023614749,489.3969059765131,a
83.50592348894577,445.8898046624604,a
92.90084702813508,502.00741352739277,a
66.27864168415823,453.44926842865783,a
77.26179954822896,502.93031652914135,a
154.4293326403026,430.4746874629525,a
136.7410412154705,413.60540240731297,a
173.4153110073616,457.7730155141373,a
250.98340976575707,435.26318398793865,a
246.18267879696873,370.46566240209177,a
251.80526026582135,406.3825742528795,a
326.66447039970524,330.33510634930457,a
296.5711671950162,400.7984055470012,a
335.7645387991366,349.2176173290685,a
349.2647151195186,326.19667999444044,a
328.9854584944952,368.40911710593116,a
315.09160834811564,369.98721682647863,a
212.70885046560252,384.973582599316,a
209.25108211505048,369.60745290967486,a
170.7679664244896,390.7429607135369,a
97.60725697178805,407.08357213632615,a
122.32897342559986,431.73368713101434,a
70.90098882005914,421.8922464252339,a
94.60254997063086,444.3342475071561,a
40.35745058473179,455.1214734928208,a
104.05103200588393,424.09285215911655,a
110.93480593297934,424.13723137525915,a
86.64883920490128,435.39264256895615,a
140.40072374689694,440.21566792471276,a
131.69121003035298,424.18402380922663,a
239.92705855896065,387.11745938017214,a
220.1916498559781,333.9279275168749,a
228.8716232240623,379.2145496979301,a
239.3687084428746,323.35752767410014,a
278.1648559064836,296.73743382658597,a
276.2023535352328,311.83793037137514,a
276.38527231978384,320.07674997821414,a
264.7729656676303,296.8352324479642,a
181.6622745437327,308.81818858219077,a
150.95609304982926,362.87302696646844,a
148.11223265539917,420.2544087347985,a
96.40096057070355,424.99700952866544,a
70.86659699225955,402.3796340850702,a
41.360275097048856,387.882075308654,a
79.79518930150388,398.1000133373259,a
94.1045993380242,446.14407941157384,a
65.12554926552565,354.20930604358443,a
97.4734302143042,353.27294746351527,a
118.14994412223051,353.34714239017757,a
198.6232951225639,306.79741406599675,a
119.46992073943372,310.24854770261277,a
187.33189107680093,295.29831850218125,a
183.48723960389356,285.2988753708235,a
151.14957381653983,337.2891696644566,a
122.81682697358755,334.11847649273864,a
101.87791972679028,319.0859338457631,a
89.69742024774371,324.1080362904635,a
71.74555940775791,404.3570064587073,a
67.2679750164568,375.39895593625414,a
104.48279151299985,389.5926526949886,a
102.46421913829117,343.43809534609557,a
105.11670492594467,294.5371047676314,a
101.36639999632746,294.15543055693126,a
140.0907387913592,333.9003502195657,a
173.6257942123644,304.87696144285104,a
