x,y,z
253.5106247403572,474.2692547711956,a
266.6113760558756,479.63213101065674,a
262.4702400804017,512.0090118227527,a
299.5051951282294,456.95706143370126,a
256.05751110045406,444.3630226077707,a
236.57995233027842,422.78875234958747,a
193.6256760354534,485.30325723699144,a
169.7767757850122,518.3326052992815,a
152.2203971955793,454.0332227949351,a
205.74584084985014,488.1108738259541,a
162.12189776037417,437.99503241224625,a
176.54605673048894,502.5542223825377,a
151.22578907917836,472.11518398335,a
112.66496600947112,494.37189723384677,a
158.1882910286918,492.1397021140386,a
88.6464335489282,416.1641430404285,a
118.11211338138487,504.8987545889909,a
111.83899461953376,521.0527597835977,a
74.73127596905655,490.4385459304797,a
125.06565264562308,470.9807492916834,a
64.6555346076901,440.7502623438543,a
73.55510997330828,505.8470718376652,a
164.4896367115439,480.61149726285265,a
56.72039738612186,437.02930771276664,a
57.546961038714414,466.00083033301144,a
69.84626608883333,495.3864250989829,a
102.89375958703346,456.1188024172745,a
91.60015068095703,504.78871054599904,a
67.04414205757321,495.69321312327077,a
75.9598170011908,476.150323115769,a
76.4182890221601,450.7643712567521,a
124.88123102612325,441.98287529398,a
69.726074836621,445.9638688547457,a
73.00800193444435,403.35268573836163,a
50.985643203301024,466.3654032400048,a
42.80702834297324,445.265030724451,a
84.18432984421464,408.61025951445095,a
66.15884642382322,442.90371870551223,a
114.38107154230114,447.60608205196377,a
62.509554130077596,432.3540951806263,a
103.94434052093126,448.9150731436591,a
167.351064365563,398.0253286377537,a
191.16545260830347,442.1470040064204,a
208.57373472493444,426.48989251739386,a
217.77483718594922,454.24065467786556,a
210.63673129486205,367.9785841546541,a
289.2325302460462,401.62938158291087,a
295.9551533765775,389.2137336554873,a
305.13976980027087,411.80816745723087,a
255.67492172180548,418.11255979065123,a
298.2391003702781,439.36005241957355,a
301.5692344854444,462.10410023713814,a
241.8149923037176,431.96620491730437,a
260.500964128679,424.5294630611973,a
217.7424676644117,389.6717177889278,a
236.19109530526606,385.2307494723372,a
170.689482876233,333.92494756425526,a
91.41029604580243,372.4780752711968,a
77.93044093869483,357.20279743728076,a
-7.949917151399234,321.1956095771569,a
4.766254283188161,327.10644887792796,a
9.551115723223262,350.15779635949286,a
53.15920654153307,323.0575533026217,a
23.023113770937336,340.21580506693215,a
17.064595668296285,326.7531187961155,a
121.06169664756996,327.3148096518363,a
160.65166421375807,313.45469619916105,a
224.15827870132128,332.3551950773184,a
335.2223465562509,341.6013656077694,a
332.82052932208757,341.62298713296934,a
289.42007680661254,340.3991443052101,a
325.65681870383287,324.92523640652365,a
272.6398069779706,309.5846390451568,a
265.9167433082533,339.4066010313643,a
318.54176796952055,352.89034424759757,a
295.7335215202672,322.07678668951826,a
276.8684228120045,376.2631167980658,a
217.29684099124842,283.40608897761894,a
145.35057698501654,307.14266816233066,a
81.70982162263378,300.14511060423524,a
90.25533847727294,263.5470890886006,a
59.36509856977602,250.78031180263704,a
85.26410329719121,296.85051954498965,a
29.09528884376299,326.6388926344834,a
79.77560107413271,278.70845551345997,a
81.28512859360819,265.13420152710705,a
150.68101299645363,228.748061154038,a
91.03664405334305,273.74535912271074,a
221.43119301711056,271.6968526724851,a
218.014602616353,280.19317471994475,a
215.6284096489124,261.61569005911633,a
238.65324722369303,281.19375558733566,a
236.72968274108916,261.0084426906378,a
221.45550311043942,275.0597299566399,a
232.42971193022169,305.84384220925017,a
199.42309820752178,259.550439787154,a
213.53709717567048,258.46576849700864,a
131.12098905186764,251.9181717344466,a
151.16987145282192,248.5868774101769,a
133.8854948374627,236.5414499615971,a
107.66021445923518,210.2408516108398,a
55.31356913025277,222.3095641550412,a
64.35910273664919,199.10310274991048,a
48.074495805587944,187.2781288294447,a
80.56294785582865,177.2596116552932,a
85.96323328095416,194.81041230873814,a
177.15370322644623,148.1987574101554,a
182.51205339802922,218.9205651251326,a
232.18154714435101,149.67062307527192,a
242.96586319339852,223.70683090887462,a
283.0841612549376,187.9209958121408,a
221.32560802491238,218.89380556282498,a
258.54182550670373,184.1854909170936,a
236.45897904946395,174.48368604241642,a
168.37719640250847,208.40223442930613,a
199.31220035550706,216.9305507217113,a
127.52220019981647,165.56723120458605,a
63.995669391004775,194.71252999456732,a
79.0298089325317,159.29533733369726,a
10.42250304449884,159.28517826133975,a
75.49990569962938,166.23333033843392,a
10.973160619450805,141.02419085092885,a
3.2436022260334667,179.89451363267398,a
16.523216460726438,174.13817408312252,a
35.22046908065529,137.89458794627973,a
