x,y,z
47.12272027746235,250.92907065209215,b
45.036864435678005,316.6285208522221,b
84.3335232683734,280.4450132212393,b
73.85960942661106,293.17303983425893,b
109.43752949441784,290.8491722177693,b
138.00709007335706,298.5388788074823,b
214.3610180845158,296.8404392240785,b
156.0883703252358,292.7400442588902,b
229.30298609679204,235.27756595841794,b
255.3931954460805,270.5971990055286,a
325.98976197814056,304.6579543721841,a
346.6828031826679,287.3195297782486,a
421.7439171763404,303.8942182561625,a
521.5006245130724,280.4607237828455,a
558.2308795425621,336.6237862144544,a
656.0132837466565,274.65197551286263,a
659.0862816970042,271.79349669421197,a
725.6925465804287,221.26248114493956,a
732.9429450470413,280.97445895043444,a
712.136811141979,262.07955573802894,a
671.6362402666263,316.1964899470413,a
651.3917943401825,292.37652842286934,a
628.7164297598671,298.4754963490117,a
617.9917512248414,271.39614121721274,a
579.8562686500708,298.9034890186444,a
528.7655046277457,267.2633743402441,a
554.9350671979483,311.6903589135667,a
564.7499288059817,282.3694792845261,a
493.77019632997303,311.120559808787,a
511.2139413209524,247.2702632335089,a
521.000036566176,274.6470590853162,a
480.3945618239208,252.53586965650663,a
492.82000790571675,236.82650289302887,a
426.059414070303,305.11369917966795,a
430.8779442734792,293.2438167428721,a
406.86140291702407,239.64823035295223,a
426.7149915800339,267.074493454459,a
397.2284600616972,262.90741505565154,a
402.2881808611019,279.3671767080099,a
409.77363708052604,268.90508962655036,a
416.19392475116405,253.7024618595774,a
436.58814081092515,257.89580769060194,a
402.56494787081107,254.9930697832732,a
358.05290454157455,291.0195438153641,a
401.4052083549105,269.91139547841556,a
377.5740749177238,227.4819355236964,a
372.9024608755943,250.6560427577996,a
369.7616445614722,264.8049402198019,a
389.5348444141126,290.2499511310621,a
323.91191833940513,266.6587871695051,a
324.59810194477404,279.2689378491217,a
293.8189235634153,298.92752262885506,a
334.55515731283657,305.04697961019133,a
332.84734846274256,305.92960269633375,a
298.3662329696563,311.7827210381515,a
